"","caseid","weight_full","mode","voted2012","regist2016","primary2016","intendvote","ideology","pid_strength","born_again","fundamentalist","race","female","income","hannity","minutes60","cooper","matthews","press","conan","bigbang","modernfamily","rush","npr","voted2016","votechoice2016","demprescandft","gopprescandft","libprescandft","greenprescandft","demhousecandft","gophousecandft","indhousecandft","demsencandft","gopsencandft","indsencandft","srsenft","jrsenft","nonrunsenft","demvpcandft","gopvpcandft","robertsft","popeft","christianfundft","femft","liberalsft","laborunionsft","poorft","bigbusinessft","conservativesft","sctft","gaysft","congressft","richft","muslimsft","christiansft","jewsft","teapartyft","policeft","transft","scientistsft","blmft","taxmill","vaccincesinschool","vaccines","govtreduceeq","reqequal","howequal","foreignim","immigsupport","freetradeag","marijuana","asiansft","hispanicsft","blacksft","illegalsft","whitesft","location","educ","gop","dem","employed","cath_attend","prot_attend","jew_attend","cath_nonatt","prot_nonatt","jew_nonatt","obama12","romney12","yesvote2016","trump16","clinton16"
"193",300477,0.17129999,1,1,1,1,0,6,6,0,0,5,0,4,0,0,0,0,0,0,0,0,0,1,4,NA,0,15,15,NA,40,70,NA,NA,NA,NA,30,30,NA,NA,30,50,60,50,50,15,40,50,60,85,60,50,15,50,50,70,50,70,100,50,85,15,-1,1,1,-1,1,1,NA,2,1,-1,85,85,85,30,85,"NM",3,1,0,0,1,0,0,0,0,0,0,1,1,0,0
"194",300482,0.72729999,1,0,1,1,1,2,1,0,0,1,1,2,0,1,0,0,0,1,0,1,1,0,4,1,70,15,50,85,NA,50,NA,70,50,NA,NA,NA,NA,70,0,50,100,15,70,85,70,70,30,30,70,85,50,40,85,70,50,15,70,100,100,100,1,1,2,1,1,1,NA,3,1,1,50,50,50,50,50,"ID",2,0,1,1,1,0,0,0,0,0,NA,NA,1,0,1
"195",300488,0.86580002,1,1,1,0,1,4,3,1,0,1,0,3,0,0,0,0,0,0,1,0,0,0,2,NA,50,70,NA,40,50,50,NA,60,60,NA,NA,NA,60,60,50,60,50,70,60,60,60,70,85,70,70,60,70,50,60,70,60,70,70,60,70,60,-1,0,NA,-1,-1,2,-1,2,-1,-1,60,30,70,30,100,"OH",2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"196",300493,2.0237,1,0,0,0,NA,4,4,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,40,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,30,50,50,50,60,50,50,60,50,30,60,70,50,50,60,60,40,30,1,1,1,-1,1,1,1,1,0,1,100,100,0,70,50,"ID",3,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
"197",300495,0.20990001,1,0,0,0,1,NA,3,0,0,1,0,2,0,0,0,0,0,0,0,0,NA,NA,3,NA,85,0,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,50,NA,60,60,50,40,40,50,70,50,30,60,50,40,85,40,85,30,40,85,30,100,40,1,1,1,-1,1,1,1,2,-1,1,85,40,40,40,50,"TN",3,0,0,0,0,0,0,0,1,0,NA,NA,0,0,0
"198",300497,1.658,1,1,1,0,1,3,5,0,0,5,1,2,0,1,0,0,0,0,0,0,0,1,2,NA,60,30,50,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,50,NA,NA,50,50,50,50,0,60,60,50,15,40,50,40,50,50,50,40,50,50,70,1,-1,1,0,1,2,NA,4,0,-1,50,60,60,85,50,"CO",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"199",300499,1.2323,1,1,1,0,1,3,1,0,0,6,1,5,0,1,0,0,0,0,0,1,0,0,1,NA,85,30,60,40,50,50,NA,NA,NA,NA,50,30,NA,50,15,50,85,0,85,85,60,60,15,15,40,85,30,40,30,40,70,15,70,85,70,70,1,1,3,-1,1,1,NA,2,-1,1,100,85,30,30,85,"TX",4,0,1,1,0,0,0,1,0,0,1,0,0,0,0
"200",300500,0,1,1,1,1,1,NA,7,1,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TX",3,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"201",300501,0.1921,1,1,1,1,1,7,7,1,0,1,1,2,1,0,0,0,0,0,0,0,NA,NA,4,2,0,85,50,50,60,50,NA,NA,NA,NA,85,85,NA,50,100,60,60,100,40,0,40,85,60,100,70,0,40,60,50,100,70,100,100,15,50,0,1,1,1,-1,1,1,1,2,1,-1,50,60,70,0,100,"TN",1,1,0,0,0,1,0,0,0,0,0,1,1,1,0
"202",300503,0.75760001,1,0,0,0,NA,6,7,0,0,5,1,5,1,0,0,0,0,0,0,0,NA,NA,NA,NA,15,100,50,0,NA,85,NA,NA,NA,NA,NA,85,NA,15,85,50,15,85,15,15,15,50,85,100,50,0,50,85,15,85,85,85,85,0,85,0,0,1,1,-1,1,1,1,2,0,-1,100,50,50,0,85,"TX",4,1,0,0,1,0,0,0,0,0,NA,NA,0,0,0
"203",300504,0,1,0,0,0,NA,4,4,0,0,1,1,5,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IL",3,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
"204",300517,1.1033,1,1,1,1,1,6,5,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,4,3,30,60,85,60,15,60,NA,30,50,NA,NA,NA,50,30,30,70,100,15,60,15,60,15,85,15,70,70,0,40,50,85,60,0,15,60,90,15,-1,1,1,-1,0,NA,-1,3,-1,1,30,70,70,10,70,"GA",4,0,0,1,0,0,0,1,0,0,0,0,1,0,0
"205",300518,0.7723,1,1,1,0,1,7,6,1,0,1,0,4,1,0,0,0,0,0,0,0,NA,NA,4,2,0,30,15,15,50,60,NA,NA,NA,NA,70,60,NA,15,100,100,15,100,15,0,15,85,60,60,60,50,60,60,40,100,100,60,100,50,50,0,-1,1,2,-1,1,3,1,4,1,-1,70,70,70,70,70,"TN",3,1,0,1,0,1,0,0,0,0,0,1,1,1,0
"206",300522,1.3239,1,1,1,1,1,6,7,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,4,2,15,85,15,15,50,70,NA,0,70,NA,NA,NA,15,15,85,60,100,50,15,30,15,50,50,60,70,50,30,50,50,50,50,60,85,50,50,15,-1,1,1,-1,1,1,NA,2,0,0,85,85,85,15,85,"WA",3,1,0,1,1,0,0,0,0,0,0,1,1,1,0
"207",300526,0.4815,1,1,1,1,1,4,6,1,0,1,1,3,0,1,0,0,0,0,0,0,1,0,4,2,30,70,50,40,50,85,NA,NA,NA,NA,85,85,NA,50,50,60,85,40,40,60,70,50,60,40,60,50,40,50,50,85,70,50,85,50,70,60,-1,1,2,-1,1,1,1,3,0,0,60,60,40,40,60,"TN",4,1,0,1,0,1,0,0,0,0,0,1,1,1,0
"208",300534,1.8545001,1,1,1,1,1,6,7,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,4,1,40,15,50,40,NA,50,NA,NA,50,NA,NA,NA,85,60,15,70,100,50,50,40,30,50,50,70,70,50,30,50,50,50,50,0,70,50,85,50,1,1,1,-1,1,1,NA,4,-1,0,40,30,15,0,100,"OK",5,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"209",300540,1.3092,1,1,1,0,1,4,3,1,0,2,0,2,0,0,1,0,0,0,0,0,0,1,4,1,100,50,50,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,70,70,100,100,100,85,100,100,100,100,100,0,100,85,50,100,100,50,100,0,100,100,1,1,1,1,1,1,-1,4,0,1,85,85,85,50,85,"VA",2,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"210",300541,1.4371001,1,1,1,0,1,5,3,1,0,2,1,5,0,0,0,0,0,0,0,0,0,0,4,3,50,50,85,50,70,NA,NA,85,NA,NA,NA,NA,60,60,50,60,50,100,60,85,60,70,70,60,70,85,85,50,85,100,85,70,100,85,85,85,1,1,2,1,1,1,-1,2,1,0,85,85,100,60,85,"GA",2,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"211",300542,0.27599999,1,1,1,0,NA,2,1,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,NA,NA,85,0,15,0,70,0,NA,NA,NA,NA,0,0,NA,85,0,40,100,70,70,70,85,85,15,15,85,85,30,50,85,85,85,0,85,85,70,85,1,1,1,1,1,1,-1,3,1,1,50,50,50,85,50,"TN",4,0,1,1,0,0,0,0,1,0,1,0,0,0,0
"212",300543,1.3039,1,1,1,1,1,5,5,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,4,5,0,30,60,40,50,50,NA,40,60,NA,NA,NA,50,NA,60,50,85,40,60,50,40,60,40,70,50,85,50,50,60,85,85,50,60,70,85,60,-1,1,2,-1,1,1,NA,2,1,1,50,50,50,40,50,"GA",4,0,0,1,0,1,0,0,0,0,0,1,1,0,0
"213",300545,0.31349999,1,1,1,0,1,1,1,0,0,1,1,3,0,1,0,1,0,0,0,0,NA,NA,4,1,100,0,0,0,85,40,NA,85,15,NA,NA,NA,0,85,0,60,40,0,100,85,85,100,40,0,70,85,15,30,60,40,70,0,70,70,100,85,1,1,1,1,1,1,NA,4,1,1,85,85,85,70,85,"ID",5,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"214",300546,0.6408,1,1,1,0,1,5,5,1,0,1,0,5,0,1,0,0,0,0,0,0,0,0,4,5,0,0,30,0,0,70,NA,50,100,NA,NA,NA,70,30,100,70,100,60,85,30,15,70,70,85,100,40,15,70,85,100,100,30,100,50,100,60,-1,1,1,-1,1,1,-1,3,1,-1,70,70,70,30,50,"KS",5,0,0,1,0,1,0,0,0,0,0,1,1,0,0
"215",300547,2.3278999,1,0,1,0,1,4,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,NA,85,50,NA,50,60,70,NA,NA,NA,NA,NA,NA,40,85,60,70,60,85,60,60,40,85,70,50,70,85,85,70,85,85,50,70,70,70,70,85,0,-1,3,1,0,NA,NA,3,0,-1,85,85,85,50,60,"CA",3,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
"216",300549,0.19419999,1,1,1,0,1,6,2,1,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,3,30,15,70,50,70,NA,NA,50,70,NA,NA,NA,60,50,50,60,50,60,30,40,60,70,60,60,70,30,40,50,50,85,70,50,70,30,60,40,1,1,1,-1,1,1,NA,4,0,-1,100,100,100,70,100,"NC",3,0,1,0,0,1,0,0,0,0,0,1,1,0,0
"217",300552,2.6568,1,1,1,1,1,6,7,0,0,1,1,4,1,0,1,0,0,0,0,0,0,0,4,2,0,85,50,15,NA,85,NA,0,100,NA,NA,NA,15,15,100,85,70,60,40,15,30,85,50,85,70,50,70,70,40,85,60,60,85,50,70,15,0,1,1,-1,1,2,NA,3,0,-1,50,50,50,15,50,"WI",2,1,0,0,1,0,0,0,0,0,0,1,1,1,0
"218",300554,1.0416,1,1,1,1,1,1,1,0,0,3,1,4,0,1,0,0,1,0,0,0,NA,NA,4,1,85,0,50,60,NA,NA,NA,70,50,NA,NA,NA,NA,85,0,NA,60,0,100,85,50,50,60,40,70,100,50,50,50,50,50,15,60,100,100,100,1,1,1,1,1,1,-1,4,1,1,50,50,50,50,40,"NY",5,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"219",300555,1.0312999,1,1,1,1,1,5,6,0,0,1,0,5,0,0,1,0,1,0,0,0,NA,NA,4,2,30,70,50,60,NA,85,NA,40,60,NA,NA,NA,60,50,85,50,100,70,50,40,30,60,70,70,60,50,40,50,40,60,50,40,85,40,70,30,1,0,NA,0,1,2,1,3,1,1,85,85,60,50,70,"AZ",3,1,0,1,0,0,0,0,0,0,0,1,1,1,0
"220",300558,0.3565,1,1,1,1,1,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,NA,NA,4,1,60,0,50,85,70,NA,NA,70,0,NA,NA,NA,NA,50,0,NA,50,15,100,85,85,85,15,60,NA,100,0,NA,NA,NA,NA,0,40,100,100,100,1,1,1,1,1,1,1,4,NA,1,85,85,85,85,50,"FL",4,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"221",300559,0.90890002,1,1,1,1,1,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,2,0,85,NA,0,NA,15,NA,60,15,NA,NA,NA,85,15,30,50,85,15,0,70,100,70,30,15,60,0,15,60,15,100,85,0,100,0,100,0,1,1,1,1,1,1,NA,2,-1,0,50,20,20,20,100,"OH",3,0,1,0,0,1,0,0,0,0,1,0,1,1,0
"222",300561,0,1,1,1,0,1,6,7,0,0,1,0,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LA",4,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"223",300565,1.64,1,1,1,1,1,4,5,0,0,1,1,5,0,1,0,0,0,0,0,0,NA,NA,4,2,15,60,998,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,85,70,100,50,100,40,85,100,50,85,70,50,50,50,85,100,100,50,100,100,85,0,1,1,1,-1,1,1,NA,3,1,-1,85,85,85,30,85,"NJ",5,0,0,0,1,0,0,0,0,0,0,1,1,1,0
"224",300566,0.85369998,1,0,0,0,NA,NA,4,0,0,5,0,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,70,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,50,50,60,60,60,50,60,30,60,50,30,70,NA,NA,70,30,50,30,1,1,2,1,1,2,NA,4,1,-1,30,70,30,60,95,"TX",2,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
"225",300569,0.80080003,1,1,1,1,1,7,5,1,0,1,0,3,0,0,0,0,0,0,1,0,1,0,4,2,0,85,50,50,NA,NA,NA,NA,60,NA,NA,NA,NA,50,100,30,50,70,50,15,30,85,50,85,70,50,40,50,40,100,70,85,85,50,50,30,-1,0,NA,-1,1,1,-1,2,0,1,85,85,85,15,70,"FL",3,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"226",300571,0.94809997,1,1,1,0,1,6,7,0,0,1,1,5,1,1,0,0,0,0,0,0,0,0,4,2,30,85,50,40,NA,70,NA,40,70,NA,NA,NA,15,30,85,85,70,70,NA,60,60,85,50,70,70,15,60,70,60,100,70,60,85,15,85,40,1,1,1,-1,1,1,NA,3,1,-1,85,85,85,40,85,"WI",5,1,0,0,0,1,0,0,0,0,0,1,1,1,0
"227",300572,0.25729999,1,1,1,1,1,6,7,1,1,1,0,3,1,0,0,0,0,0,0,0,NA,NA,4,2,0,70,30,50,50,50,NA,50,85,NA,NA,NA,85,40,85,50,50,100,85,30,0,85,15,85,60,50,40,60,50,85,100,85,70,50,70,60,-1,1,1,-1,1,1,1,2,1,-1,70,50,60,50,70,"GA",5,1,0,0,0,1,0,0,0,0,0,1,1,1,0
"228",300574,0,1,1,1,1,NA,NA,6,0,0,1,1,1,0,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CA",3,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"229",300575,0.1886,1,0,1,1,1,5,7,0,0,1,0,1,0,1,0,0,0,0,0,0,NA,NA,4,1,0,100,60,50,40,60,NA,NA,NA,NA,50,50,NA,40,40,NA,20,40,40,30,50,40,60,60,50,0,50,40,50,70,50,50,60,0,80,0,1,1,1,0,1,1,NA,1,-1,-1,60,20,0,0,50,"TN",4,1,0,0,1,0,0,0,0,0,NA,NA,1,0,1
"230",300578,1.2656,1,0,1,0,0,NA,5,0,NA,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,50,60,NA,50,NA,NA,NA,60,50,NA,NA,NA,50,50,60,50,85,50,50,50,70,85,50,50,50,50,50,50,50,50,50,50,100,30,100,50,-1,1,1,-1,0,NA,-1,3,1,1,60,50,40,15,100,"OH",2,0,0,1,0,0,0,0,0,0,NA,NA,0,0,0
"231",300581,0.36970001,1,1,1,0,1,NA,4,1,0,2,1,4,0,1,1,0,1,0,0,0,0,0,4,1,60,0,50,50,50,50,NA,NA,NA,NA,50,50,NA,50,60,50,85,85,30,50,70,85,70,60,60,0,60,50,0,100,85,60,70,0,70,70,1,1,1,0,1,1,NA,3,NA,-1,70,85,100,40,85,"TX",4,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"232",300583,1.2175,1,1,1,1,1,2,3,1,0,1,1,6,0,0,0,0,0,0,0,1,0,1,4,1,70,0,70,70,50,30,NA,70,15,NA,NA,NA,15,70,15,85,100,15,70,85,60,100,0,40,60,85,40,50,85,85,85,0,60,85,85,85,1,1,1,1,1,1,-1,4,1,1,100,100,100,60,100,"ID",5,0,0,0,0,1,0,0,0,0,1,0,1,0,1
"233",300586,0,1,1,1,1,1,3,4,0,0,1,1,4,0,0,0,0,1,1,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OH",5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"234",300587,0.37760001,1,1,1,1,1,4,1,1,0,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,1,100,0,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,60,60,85,NA,NA,60,70,15,60,60,0,0,40,NA,70,70,NA,0,NA,70,60,1,-1,1,1,1,1,NA,3,1,-1,50,50,50,50,50,"CA",3,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"235",300589,0.46290001,1,1,1,1,NA,6,7,1,0,1,0,5,0,0,0,0,0,0,1,0,0,0,NA,NA,0,70,50,50,50,50,NA,50,50,NA,NA,NA,50,40,60,50,70,70,30,30,30,85,50,60,60,50,40,50,85,100,85,70,85,15,70,0,-1,1,1,-1,1,1,NA,1,1,-1,100,85,85,0,85,"IN",5,1,0,1,0,1,0,0,0,0,0,1,0,0,0
"236",300597,1.202,1,1,1,1,1,4,5,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,4,1,60,30,40,40,50,70,NA,NA,NA,NA,40,70,NA,50,60,70,70,40,50,60,30,60,40,50,60,70,40,40,60,60,70,30,70,70,60,50,1,1,1,0,1,1,NA,4,1,0,60,60,60,50,50,"TN",4,0,0,1,0,1,0,0,0,0,0,1,1,0,1
"237",300600,0,1,1,1,0,1,6,6,0,0,1,1,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WI",4,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"238",300601,1.5555,1,1,1,1,1,6,7,1,0,1,1,4,1,1,0,0,0,0,1,0,NA,NA,4,2,0,100,NA,0,NA,85,NA,NA,85,NA,NA,NA,NA,0,15,85,60,70,50,50,50,60,40,85,60,50,85,70,60,100,100,85,85,50,100,50,NA,1,2,0,1,1,NA,1,1,1,60,85,100,70,100,"GA",3,1,0,0,0,0,0,0,0,0,0,1,1,1,0
"239",300603,0,1,1,1,1,NA,7,7,1,0,1,0,5,1,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TX",4,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"240",300605,0.9623,1,1,1,1,1,7,7,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,100,30,15,NA,50,NA,NA,NA,NA,60,85,NA,0,100,85,50,100,0,0,30,100,100,100,70,0,15,100,15,100,100,100,100,0,85,0,-1,1,2,-1,1,1,1,3,1,-1,85,85,85,0,85,"TX",5,1,0,1,0,1,0,0,0,0,0,1,1,1,0
"241",300609,0.4587,1,0,1,0,1,4,5,1,0,6,1,1,0,0,0,0,0,0,1,0,NA,NA,4,2,60,85,50,50,40,50,NA,40,50,NA,NA,NA,70,50,60,50,85,60,60,60,70,85,100,60,60,85,30,60,50,85,100,50,85,70,70,85,0,0,NA,-1,1,1,1,2,0,0,85,60,85,15,85,"NH",1,0,0,1,0,0,0,0,0,0,NA,NA,1,1,0
"242",300610,0.29910001,1,1,1,1,1,2,1,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,85,0,NA,NA,15,NA,NA,NA,NA,NA,0,0,NA,NA,50,50,100,30,50,85,50,100,50,50,70,70,60,60,85,60,100,40,85,70,85,100,1,1,1,-1,1,1,NA,4,0,1,NA,NA,NA,NA,NA,"TX",3,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"243",300611,1.7747999,1,1,1,0,1,4,6,0,0,5,0,3,0,0,0,0,0,0,0,0,NA,NA,3,NA,100,0,0,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,70,50,50,100,50,40,50,50,50,85,50,50,85,50,50,100,50,100,70,1,1,1,-1,1,1,-1,2,-1,-1,50,70,70,50,70,"NM",2,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"244",300612,0.53329998,1,0,1,1,1,3,3,0,0,5,0,5,0,0,0,0,0,0,1,0,NA,NA,4,1,50,30,50,40,NA,60,NA,NA,NA,NA,30,60,NA,50,30,50,40,70,60,60,60,70,50,40,85,50,50,50,60,60,60,50,85,50,85,50,0,1,1,1,1,1,-1,4,1,0,70,70,70,50,70,"TX",3,0,0,0,1,0,0,0,0,0,NA,NA,1,0,1
"245",300614,1.0565,1,1,1,0,1,5,5,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,0,70,NA,15,NA,60,NA,NA,NA,NA,40,85,NA,60,85,NA,50,85,50,30,60,85,60,70,60,85,60,85,60,100,85,69,85,50,60,15,-1,1,1,-1,1,1,1,2,1,0,50,50,50,15,50,"TX",2,0,0,1,0,0,0,0,1,0,0,1,1,1,0
"246",300617,1.2573,1,1,1,0,1,5,6,1,0,1,1,5,0,0,0,0,0,0,0,1,NA,NA,4,1,60,30,60,60,50,50,NA,50,50,NA,NA,NA,60,40,60,NA,70,50,40,40,60,90,40,60,60,70,50,70,60,100,100,50,90,70,70,40,1,1,2,-1,1,1,-1,3,0,-1,90,90,90,40,90,"IL",3,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"247",300620,1.9044,1,1,1,1,1,4,1,0,0,2,0,3,0,0,0,0,0,0,1,1,NA,NA,4,1,100,0,50,70,50,50,NA,NA,NA,NA,60,50,NA,50,50,50,50,60,70,60,60,100,60,40,70,100,50,50,85,85,100,85,100,100,70,100,1,1,2,1,1,1,-1,2,1,0,100,100,85,50,50,"MA",4,0,1,1,0,0,0,0,0,0,1,0,1,0,1
"248",300621,0,1,1,1,1,1,6,7,0,0,1,0,5,1,0,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TN",4,1,0,1,1,0,0,0,0,0,0,1,0,0,0
"249",300622,0.5061,1,0,1,0,1,2,3,0,0,6,0,1,0,0,0,0,0,0,1,1,0,0,4,1,70,0,100,60,60,60,NA,85,NA,70,NA,NA,60,30,0,30,70,40,100,70,60,100,30,0,40,100,40,50,100,70,100,50,40,100,100,100,1,-1,2,1,1,1,NA,3,0,1,100,100,100,100,60,"CA",3,0,0,1,0,0,0,0,0,0,NA,NA,1,0,1
"250",300628,1.5462,1,1,1,0,1,NA,6,1,0,1,0,5,0,1,0,0,0,0,0,0,NA,NA,4,2,0,85,70,50,NA,NA,NA,50,70,NA,NA,NA,40,50,100,NA,50,40,40,15,40,85,50,60,50,30,15,50,50,85,85,50,100,50,85,50,1,1,1,0,1,1,NA,3,-1,-1,85,85,85,40,85,"IL",2,1,0,1,0,1,0,0,0,0,0,1,1,1,0
"251",300629,0.86260003,1,1,1,1,1,3,1,0,0,2,1,4,0,1,0,0,1,0,1,1,NA,NA,4,1,70,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,70,100,85,NA,85,15,100,40,NA,100,50,50,85,50,85,NA,NA,-1,1,NA,NA,NA,NA,1,NA,-1,50,50,100,50,50,"MS",1,0,1,0,0,0,0,0,0,0,1,0,1,0,1
"252",300632,0,1,0,0,0,0,1,4,0,0,3,1,4,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NJ",3,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"253",300633,0.3387,1,1,1,0,1,4,1,0,0,5,0,4,0,0,1,0,0,0,0,0,NA,NA,4,1,70,30,40,50,60,50,NA,NA,NA,NA,60,85,NA,NA,15,50,85,40,70,70,60,60,40,70,60,70,40,70,60,70,70,50,85,60,60,40,1,1,1,0,1,1,-1,4,1,0,60,85,60,40,60,"NM",5,0,1,1,0,0,0,0,1,0,1,0,1,0,1
"254",300634,0,1,0,0,0,1,3,3,0,0,6,1,5,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OK",3,0,0,1,0,0,0,1,0,0,NA,NA,0,0,0
